Features,Label,Predicted_Label
"Select the correct IUPAC name for
\( \left[\mathrm{Pt}\left(\mathrm{NH}_{3}\right)_{4}\right]^{2+} \) complex ion
A. Tetraammineplatinum(II) ion
B. Tetraammineplatinum(2+) ion
c. Tetraammineplatinate(II) ion
D. Tetraammineplatinate(2+) ion",,2.0
"Maximum oxidation state exhibited by
lanthanides is:
\( A \cdot+1 \)
B. +2
\( c \cdot+3 \)
D. +4",,2.0
Name any two characteristics of light explained by Huygens wave theory?,,4.0
"Assertion
\( \boldsymbol{S O}_{2} \) turns acidified \( \boldsymbol{K}_{2} \boldsymbol{C r}_{2} \boldsymbol{O}_{7} \) green
Reason
\( K_{2} C r_{2} O_{7} \) is reduced to \( C r^{3+}(\text { green }) \)
salt by \( S O_{2} \)
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion.
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion.
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect.",,2.0
Oxygen forms liquid hydride which is to litmus.,,2.0
"Identify the non-Green House Gas (GHG) from the following
A. Methane
B. Nitrous oxide
c. sulphur hexafluoride
D. Carbon monoxide",,2.0
"Pnicogens are the elements of group:
A . 15
B. 13
c. vıl
D. zero",,2.0
"Q Type your question.
different oxygen pressures.
The greatest difference in oxygen
saturation between hemoglobin and
myoglobin takes place at which of the
following pressure?
partial pressure
Myoglobin
\( A \cdot 1 k P a \)
в. \( 2 k P a \)
\( c .3 k P a \)
D. \( 4 k P a \)
\( E \)",,2.0
"A planet is revolving in an elliptical orbit around the Sun. Its closest
distance from the Sun is \( r_{\text {min }} \) and the
farthest distance is \( r_{m a x} \). If the velocity
of the planet at the distance of the
closest approach is \( \nu_{1} \) and that at the
farthest distance from the Sun is \( \nu_{2} \)
\( \operatorname{then}\left\{\nu_{1}\right\} /\left\{\nu_{2}\right\} \)
A \( \cdot \frac{r_{\max }}{r_{\min }} \)
B \( \cdot \frac{r_{\min }}{r_{\max }} \)
C. \( \frac{r_{\min }+r_{\max }}{r_{\max }-r_{\min }} \)
D. none",,4.0
"f \( A=\{a, b\} \) and \( B=\{1,2,3\} \) find
\( (\boldsymbol{A} \times \boldsymbol{B}) \cap(\boldsymbol{B} \times \boldsymbol{A}) \)",,3.0
"Give reason as to why a newly made
quilt is warmer than an old one.",,2.0
"Which of the following halides is capable of exhibiting enantiomerism?
A. Ethyl chloride
B. Isopropyl bromide
c. sec-Butyl iodide
D. tert-Butyl chloride",,2.0
"A freely falling body has a velocity after falling through a distance h. The distance it has to fall down further for
its velocity to become 2 V is :
\( A \cdot 3 h \)
B. 2h
\( c \cdot h \)
D. \( 4 h \)",,4.0
"A series LCR circuit consists of an
inductor L a capacitor \( C \) and a resistor \( R \)
connected across a source of emf \( \varepsilon= \)
\( \varepsilon_{0} \sin \omega t . \) When \( \omega L=\frac{1}{\omega C} \) the current in
the circuit is \( l_{0} \) and if angular frequency
of the source is changed to \( \omega \) ', the
current in the circuit becomes \( \frac{l_{0}}{2}, \) then
the value of \( \left|\boldsymbol{\omega}^{\prime} \boldsymbol{L}-\frac{\mathbf{1}}{\omega^{\prime} \boldsymbol{C}}\right| \) is
\( A \)
B. \( \sqrt{3} \) R
\( c \cdot \sqrt{15} \)",,4.0
"Define the capacity of a condenser
Derive an expression for the capacity of a parallel plate condenser. How can its capacity be increased?",,4.0
"if \( \cos ^{-1} x+\cos ^{-1} y=\theta, \) show that \( x^{2}-2 \)",,3.0
"The temperature of a room heated by a
heater is \( 20^{\circ} \mathrm{C} \) when outside
temperature is \( -20^{\circ} \mathrm{C} \) and it is \( 10^{\circ} \mathrm{C} \) when the outside temperature is
\( -40^{\circ} \mathrm{C} . \) The temperature of the heater is
A \( \cdot 80^{\circ} \mathrm{C} \)
B. \( 100^{\circ} \mathrm{C} \)
\( \mathbf{c} \cdot 40^{\circ} \mathrm{C} \)
D. \( 60^{\circ} \mathrm{C} \)",,4.0
"Q Type your question
11
the latter in the pair represents the set
of characters present in Casuarina.
Study the following table:
Unisexual
flowers Chala
entry
\( (i) \)
Modified
aerial stem develop acropetally tube
(ii)
(iii) \begin{tabular}{l|l|l} 
& Pedicels of & \\
& the & Presen \\
Flowers & all flowers & of \\
achlamydeous & are of & false \\
& same & whorl \\
& length & \\
Cohesion of & Centrifugal & Male \\
bracts & opening of & flowers \\
forming & flower & many \\
a cup & & \\
& & Termin \\
Flower & & part \\
formation on & Presence of & of the \\
one side in a & rachilla & pedunc \\
spiral manner & & is \\
& & flower \\
& &
\end{tabular} \( v \)
(iv
A. Both (ii) and (iii)
B. Both (i) and (ii)
C. Both (iv) and (iii)
D. Both (iii) and (i)",,1.0
"Ozone turns trimethyl paper:
A. green
B. violet
\( c \cdot \) red
D. black",,4.0
"Familiar examples of family Liliaceae
are
A. Allium cepa, Aloe vera and Tamarindus indica
B. Saraca indica, Allium cepa and Aloe Vera
C. Allium sativum, Allium cepa and Aloe Vera
D. Tamarindus indica, Allium cepa and Allium sativum",,1.0
"According to WHO, the soft water has 0 to \( _{--}--_{-} \) milligram per litre as
\( \boldsymbol{C a C O}_{3} \)
A . 60
B. 120
c. 180
D. 150",,4.0
"The nucleophilicities of \( \boldsymbol{R}_{3} \boldsymbol{C}^{-}, \boldsymbol{R}_{2} \boldsymbol{N}^{-} \)
\( R O^{-} \) and \( F^{-} \) decrease in the order:
\( \mathbf{A} \cdot R_{3} C^{-}>R_{2} N^{-}>R O^{-}>F^{-} \)
В \( \cdot F^{-}>R O^{-}>R_{2} N^{-}>R_{3} C^{-} \)
c. \( R O^{-}>F^{-}>R_{2} N^{-}>R_{3} C^{-} \)
D. \( R_{3} C^{-}>R O^{-}>F^{-}>R_{2} N^{-} \)",,4.0
"State whether the following statements are true or false.
Semilunar valves open during the
ventricular diastole.
A. True
B. False",,2.0
"Find the enthalpy of \( S-S \) bond from
the following data (only magnitude in nearest integer in \( \mathrm{kJ} / \mathrm{mol} \) ):
\( (i) C_{2} H_{5}-S-C_{2} H_{5}(g) \Delta H_{f}^{o}= \)
\( -147.2 k J / m o l \)
\( (i i) C_{2} H_{5}-S-S-C_{2} H_{5}(g) \)
\( \Delta \boldsymbol{H}_{f}^{o}=-\mathbf{2 0 1 . 9 k J / m o l} \)
\( (i i i) S(g) \Delta H_{f}^{o}=222.8 k J / m o l \)",,2.0
"If \( A \) is an idempotent matrix satisfying, \( (I-0.4 A)^{-1}=I-\alpha A, \) where \( I \) is the
unit matrix of the same order as that of
\( A, \) then the value of \( |9 \alpha| \) is equal to",,3.0
"2 tables and 3 chairs cost Rs.2000
Where as 3 tables and 2 chairs cost Rs.
2500.Find the total cost of 1 table and 5
chairs.",,3.0
"What is the action of acidified
potassium dichromate on the following:
1. \( \boldsymbol{H}_{2} \boldsymbol{S} \)",,2.0
"Find the first term of the sequence
whose \( n^{t h} \) is given as:
\( \boldsymbol{t}_{\boldsymbol{n}}=\mathbf{4} \boldsymbol{n}-\boldsymbol{3} \)
A .2
B. 1
\( c .3 \)
D. 4",,3.0
"A helium nucleus makes a full rotation
in a circle of radius \( 0.8 m \) in 2 sec. The
value of the magnetic field induction \( \boldsymbol{B} \)
in tesla at the centre of circle will be
A \( \cdot 2 \times 10^{-19} \mu_{0} \)
B . \( 10^{-19} / \mu_{0} \)
\( \mathbf{c} \cdot 10^{-19} \varphi_{0} \)
D. \( 2 \times 10^{-20} / \mu_{0} \)",,4.0
"Fill in the blanks with appropriate
words. Benzene has a planar structure. All carbon atoms in benzene are \( \underline{\perp} \)
hybridised. The ring structure of benzene was proposed by \( \| . \) It shows \( \underline{\|} \) substitution reactions. It reacts with \( \underline{I V} \)
in presence of aluminium chloride to
form acetophenone.
A \( \cdot I=s p_{2} \) II \( = \) Kekule III\( = \) electrophilic \( I V= \) acetyl chloride
B. \( I=s p I I= \)Dewar III\( = \) nucleophilic \( I V= \) chloromethane
C \( . I=s p_{3} \) II \( = \) Ladenberg III \( = \) electrophilic \( I V= \) chloroethane
D. \( I=s p_{2} \) II \( = \) Baeyer III \( = \) nucleophilic \( I V= \) methylbromide",,2.0
"In the integral type of power brake, the diaphragm acts directly on the hydraulic piston in the
A. Master cylinder
B. Wheel cylinder
c. Adjacent cylinder
D. Multiplier unit",,4.0
Explain the significance of 'palindromic nucleotide sequence' in the formation of recombinant DNA.,,1.0
"Which of the following practices involve green chemistry?
(i) Substitute CFCs by environmental friendly HFCs and other compounds.
(ii) Replace halogenated solvent by liquid \( C O_{2} \) for drycleaning.
(iii) Use of \( \boldsymbol{H}_{2} \boldsymbol{O} \) for bleaching instead of
\( C l_{2} \)
(iv) Making disposable eating utensils and storage jars of plastics.
\( A \). (i) and (ii)
B. (ii) and (iv)
c. (iii) and (iv)
D. (i), (ii) and (iii)",,2.0
"At \( 400^{\circ} \mathrm{C}, \) the following equilibrium is
established \( : \boldsymbol{H}_{2}(\boldsymbol{g})+\boldsymbol{S}(s) \rightleftharpoons \boldsymbol{H}_{2} \boldsymbol{S}(\boldsymbol{g}) \)
\( \boldsymbol{K}_{\boldsymbol{p}}=\mathbf{6 . 8} \times \mathbf{1 0}^{-2} . \) If 0.2 mol of hydrogen
and 1.0 mol of sulphur are heated to \( 90^{\circ} \mathrm{C} \) in a 1.0 litre vessel, what will be
the partial pressure of \( \boldsymbol{H}_{2} \boldsymbol{S} \) at equilibrium?
\( \mathbf{A} \cdot 0.013 \mathrm{atm} \)
B. 0.345 atm
c. 0.456 atm
D. 0.564 atm",,2.0
"\( \lim _{x \rightarrow \infty} \sin x \) is equal to:
\( \mathbf{A} \cdot 0 \)
\( B . \infty \)
C. Exists is finite and non-zone
D. Does not exist",,3.0
"Ratio of energy of photon of wavelength \( 3000 A \) and \( 6000 A \) is :
A . 3: 1
B . 2: 1
c. 1: 2
D. 1: 3",,4.0
"Write the special characteristics/features of the human
excretory system",,1.0
"The value of \( \left|\begin{array}{ccc}(\boldsymbol{a}+\boldsymbol{d})(\boldsymbol{a}+\mathbf{2} \boldsymbol{d}) & \boldsymbol{a}+\mathbf{2} \boldsymbol{d} & \boldsymbol{a} \\ \mathbf{2} \boldsymbol{d}(\boldsymbol{a}+\mathbf{2} \boldsymbol{d}) & \boldsymbol{d} & \boldsymbol{d} \\ \mathbf{2} \boldsymbol{d}(\boldsymbol{a}+\mathbf{3} \boldsymbol{d}) & \boldsymbol{d} & \boldsymbol{d}\end{array}\right| \)
A . \( 4 d \)
B \( .4 d^{2} \)
\( c \cdot 4 d^{3} \)
D. \( 4 d^{4} \)",,3.0
"In interpreting Rutherford's experiments on the scattering of alpha particles by thin foils, one must
examine what the known factors were,
and what the experiment concluded. Which of the following are true in this context?
A. The number of electrons in the target atoms \( (i . e ., Z) \) was settled by these experiments
B. The validity of Coulomb's law for distances as small as \( 10^{-13} \) was known before these experiments.
c. The experiments settled that size of the nucleus could not be larger than a certain value
D. The experiments also settled that size of the nucleus could not be smaller than a certain value",,2.0
Integrate: \( \int \frac{x^{4}-x^{3}+8 x-8}{x^{2}-2 x+4} d x \),,3.0
"Which of the following represents the correct order of the acidity in the given compounds?
A \( \cdot F C H_{2} C O O H>C H_{3} C O O H>B r C H_{2} C O O H> \)
\( \mathrm{ClCH}_{2} \mathrm{COOH} \)
в. \( B r C H_{2} C O O H>C l C H_{2} C O O H>F C H_{2} C O O H> \)
\( C H_{3} C O O H \)
c. \( F C H_{2} C O O H>C l C H_{2} C O O H>B r C H_{2} C O O H> \)
\( C H_{3} C O O H \)
D. \( C H_{3} C O O H>B r C H_{2} C O O H>C l C H_{2} C O O H> \)
\( F C H_{2} C O O H \)",,2.0
"Which of the following is the parallax angle in the shown diagram?
4
B.
\( c \)
2",,4.0
"Match the items listed in column I with
Column II and mark the correct option.
Column I Column II
a. Glycosidic bond
(i) Protein detection
b. Tertiary structure
(ii) Dehydration reaction
c. Biuret test
(iii) Formation of
d. single alphabet catalytic site code 'P'
(iv) Proline
\( A \cdot a-(i), b-(i i), C-(i v), d-(i i i) \)
B. \( a-(\text { iii) }, b-(i i), C-(i v), d-(i) \)
C \( \cdot a-(\text { ii }), b-(\text { iii }), C-(i), d-(i v) \)
D. a - (iii), b - (iv), C - (ii), d - (i)",,2.0
"The distance moved by a particle in
time \( t \) seconds is given by \( s=t^{3}- \)
\( 6 t^{2}-15 t+12 . \) The velocity of the
particle when acceleration becomes
zero is
A . 15
в. -27
\( c \cdot 6 / 5 \)
D. none of these",,4.0
"Answer the following:
What would be the molecular formula for a straight-chain hydrocarbon having 8 carbon atoms with (a) all \( C-C \)
single bonds
(b) One \( C-C \) double
bonds,
(c) One \( C-C \) triple bond?",,2.0
"Assertion
Glycolysis is the first step of respiration in which glucose completely breaks into \( C O_{2} \) and \( H_{2} O \)
Reason
In this process, there is net gain of twenty four molecules of ATP.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion.
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",,2.0
"Find the sum of the following infinite
G.P.:
\( \frac{1}{3}, \frac{-2}{9}, \frac{4}{27}, \frac{-8}{81}, \dots \)
A \( \cdot \frac{1}{2} \)
B.
\( c \cdot \frac{1}{3} \)
D.",,3.0
"In acidic solution, \( \boldsymbol{H}_{2} \boldsymbol{O}_{2} \) oxidises \( \boldsymbol{H} \boldsymbol{g} \) to:
A. \( H g_{2} O \)
в. \( \mathrm{HgSO}_{4} \)
c. Нg S
D. \( H g O \)",,2.0
"When a certain metal is irradiated with
a radiation of frequency \( 3.2 \times 10^{16} S^{-1} \) the photo electrons emitted had twice the kinetic energy as did the phototelectrons emitted when the same
metal was irradiated with radiation of
frequency \( 2 \times 10^{16} S^{-1} . \) Calculate
threshold frequency of metal.",,2.0
"Which of the following does not react with xenon to form compunds?
A \( . O S e F_{5} \)
в. \( O T e F_{5} \)
\( c \cdot F_{2} \)
D. \( N_{2} \)",,2.0
"If \( \boldsymbol{A}(\cos \boldsymbol{\alpha}, \sin \boldsymbol{\alpha}, \boldsymbol{0}), \boldsymbol{B}(\cos \boldsymbol{\beta}, \sin \beta, \boldsymbol{0}) \)
\( C(\cos \gamma, \sin \gamma, 0) \) are vertices of \( \Delta A B C \)
and let
\[
\begin{array}{l}
\cos \alpha+\cos \beta+\cos \gamma=3 a, \sin \alpha+ \\
\sin \beta+\sin \gamma=3 b, \text { then correct }
\end{array}
\]
matching of the following is:
List:1
\begin{tabular}{ll} 
A. Circumcentre & \( 1 .(3 a, 3 b, 0) \) \\
\cline { 0 }
\end{tabular}
B. Centroid
\[
2 .(0,0,0)
\]
c. Ortho centre
\[
3 .(a, b, 0)
\]
A . 432
в. 231
c. 123
D. 234",,3.0
"Chemical equilibrium is
in nature.
A. static
B. dynamic
\( c . \) fast
D. both \( B \) and \( C \)",,2.0
"Braille is a
based on \( _{-}-_{-}-_{-}- \) system.
A. binary, binary
B. coded, logical
c. binary, coded
D. logical, binary",,1.0
"Product of two integers with
unlike signs is
A. Negative
B.
c. Positive
D. None of these",,3.0
"If the \( n^{t h} \) term of an A.P. is \( a_{n}=3+2 n \)
then the common difference \( d \) is
A .2
B. 3
\( c \cdot 4 \)
D. 5",,3.0
"The sequence of bases on \( \mathrm{m} \) -RNA
molecule synthesized on the
GCATATGGA strand of DNA is
A. cGuAUACCU
в. СGтАТАСст
c. тАсяссятс
D. Атсясятт",,1.0
"Assertion
Although the surfaces of goggle lenses are curved, it does not have any power
Reason
In case of goggle, both the curved surfaces have equal radii of curvature and have center of curvature on the
same side
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Assertion is incorrect but Reason is correct",,4.0
"A particle is falling freely under gravity from rest. In first \( t \) second it covers
distance \( x_{1} \) and in the next \( t \) second it
covers distance \( x_{2}, \) then \( t \) is given by:
A. \( \sqrt{\frac{x_{2}-x_{1}}{g}} \)
в. \( \sqrt{\frac{x_{2}+x_{1}}{2 g}} \)
c. \( \sqrt{\frac{\left(x_{2}-x_{1}\right)}{2 g}} \)
D. \( \sqrt{\frac{\left(x_{2}+x_{1}\right)}{g}} \)",,4.0
"If the largest angle of a triangle is twice the sum of the other two and the
smallest one is one-fourth of the
largest, then the angles are:
\( \begin{array}{l}\text { A } \cdot 120^{\circ}, 40^{\circ}, 20^{\circ} \\ ^{\circ}\end{array}, 12^{\circ}, 10^{\circ}, 1^{\circ} \)
в. \( 120^{\circ}, 30^{\circ}, 30^{\circ} \)
c. \( 90^{\circ}, 45^{\circ}, 45^{\circ} \)
D. \( 90^{\circ}, 60^{\circ}, 30^{\circ} \)",,3.0
"Assertion
It is not possible to use \( ^{35} C l \) as the fuel
for fusion energy.
Reason
The binding energy of \( 35 C l \) is too small.
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
C. Assertion is correct but Reason is incorrect
D. Assertion is incorrect but Reason is correct",,4.0
"Calculate the mass number of atoms
\( X, Y \) and \( Z ? \)
A . 5,11,18
B. 10,18,31
c. 11,18,3
D. 11,19,30",,3.0
"Total income of Ramesh, Suresh and
preeti is 8,07,000 rupess. The
percentages of their expenses are \( 75 \% \) \( 80 \% \) and \( 90 \% \) respectively. if the ratio of their savings is \( 16: 17: 12, \) then
find the annual saving of each of them.",,3.0
"The equation of a stationary wave is \( Y= \) \( 10 \sin \sin \frac{\pi x}{4} \cos 20 \pi t . \) The distance
between two consecutive antinodes in
meters is -
A . 4
B. 2
\( c \cdot 5 \)
D. 8",,4.0
"What are fossils?What do they tell us
about the process of evolution?",,2.0
"The measurement of each angle of a
polygon is \( 160^{\circ} . \) The number of its sides
is?
A . 15
B. 18
c. 20
D. 30",,3.0
"Which is the decreasing order of
stability?
(i) \( \boldsymbol{C H}_{3}-\boldsymbol{C H}-\boldsymbol{C H}_{3} \)
(ii) \( \boldsymbol{C H}_{3}-\boldsymbol{C H}-\boldsymbol{O}-\boldsymbol{C H}_{3} \)
(iii) \( \boldsymbol{C H}_{3}-\boldsymbol{C H}-\boldsymbol{C O}-\boldsymbol{C H}_{3} \)
\( A . \) (i) \( < \) (ii) < (iii)
B. (ii)>(i)> (iii)
\( c \cdot(\text { iii) }>(\text { ii) }>(i) \)
D. (ii) > (iii) > (i)",,2.0
"The approximate percentage of silica in cement is :
A . 5-10\%
B. 15-20\%
c. 17-25\%
D. 25-30\%",,3.0
"A box of mass \( 8 \mathrm{kg} \) is placed on a rough
inclined plane of inclined \( \theta \). Its downward motion can be prevented by applying an upward pully \( F \) and it can be made to slide upwards by applying a force \( 2 \mathrm{F} \). The coefficient of friction
between the box and the inclined plane
is
\( \mathbf{A} \cdot(\tan \theta) / 3 \)
B. \( \tan \theta \)
\( \mathbf{c} \cdot(\tan \theta) / 2 \)
D. \( 2 \tan \theta \)",,4.0
"Assertion
Reptiles and amphibians show
metachrosis.
Reason
They have neurohormones in their skin.
A. Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion.
B. Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion.
C. Assertion is correct but Reason is incorrect.
D. Both Assertion and Reason are incorrect",,2.0
"Which block of the periodic table contains elements with the general electronic configuration? \( (n-2) f^{1-14}(n-1) d^{0-1} n s^{2} \)
A. s-block
B. p-block
c. d-block
D. f-block",,2.0
"5 is a rational number. It can be written
as
A \( \cdot \frac{5}{1} \)
B. \( \frac{1}{5} \)
\( c \cdot \frac{5}{5} \)
D. \( \frac{5}{25} \)",,3.0
"A metal cube of side length \( 8.0 \mathrm{cm} \) has its upper surface displaced with
respect to the bottom by \( 0.10 \mathrm{mm} \) when a tangential force of \( 4 \times N \) is applied at the top with bottom surface fixed. The
rigidity modulus of the material of the
cube is
A \( \cdot 4 \times 10^{14} N / m^{2} \)
B . \( 5 \times 10^{9} \mathrm{N} / \mathrm{m}^{2} \)
c. \( 8 \times 10^{14} \mathrm{N} / \mathrm{m}^{2} \)
D. \( 1 \times 10^{14} \mathrm{N} / \mathrm{m}^{2} \)",,4.0
"How many total number of optically
active products are formed? The given
compound is (S)-2-chloro-2-
methylbutane",,2.0
"The element that can be used as
acceptor impurity to dope silion is :
A. Antimony
B. Arsenic
c. Boron
D. Phosphorous",,2.0
"The volume of 0.5 moles of a gas at 273
\( \mathrm{K} \) and \( 380 \mathrm{mm} \) pressure is:
A . 11.2 lit
B. 22.4 litt
c. 2.24 lit
D. 1.12 litt",,2.0
"An ideal choke takes a current of \( 8 A \)
when connected to an a.c source of 100
volt and 50 Hz. A pure resistance under
the same conditions takes a current of
10A. If two are connected in series to an
a.c. Supply of \( 150 \mathrm{V} \) and \( 40 \mathrm{Hz} \), then the current in the series combination of
above resistor and conductor is:",,4.0
"Which one of the following is an example of a thermosetting polymer?
\( c \)
\( D \)",,2.0
Factorise: \( 4 \sqrt{3} x^{2}+5 x-2 \sqrt{3} \),,3.0
"Boric acid on heating at \( 100^{\circ} \mathrm{C} \) gives:
\( \mathbf{A} \cdot B_{2} O_{3} \)
в. \( H_{2} B_{4} O_{7} \)
c. \( H B O_{2} \)
D. \( H_{2} B O_{3} \)",,2.0
"Which of the following is/are incorrect for Humphrey lines of hydrogen spectrum? This question has multiple correct options
A \( \cdot n_{2}=7 \rightarrow n_{1}=2 \)
В \( \cdot n_{2}=10 \rightarrow n_{1}=6 \)
c. \( n_{2}=5 \rightarrow n_{1}=1 \)
D \( \cdot n_{2}=11 \rightarrow n_{1}=3 \)",,2.0
"Two parallel wires each of length \( 5 m \) are
placed at a distance of \( 10 \mathrm{cm} \) apart in
air. They carry equal currents along the same direction and experience a mutually attractive force of \( 3.6 \times \)
\( 10^{-4} N . \) Find the current through the
conductors.",,4.0
"Obtain the product of \( 2,4 y, 8 y^{2}, 16 y^{3} \)
A \( \cdot 1045 y^{5} \)
В. \( 1024 y^{6} \)
c. \( 1634 y^{3} \)
D. \( 102 y^{5} \)",,3.0
"In Maxwell's velocity distribution curve
area under the graph
A. Increases when temperature is increased
B. Deccreases when temperature is increased
C. Remains same at all temperature
D. Depends on the pressure of the gas",,4.0
"Two diametrically opposite points of a metal ring are connected to terminals of
the left gap of meter bridge. In the right gap, resistance of \( 15 \Omega \) is introduced. If
the null point is obtained at a distance
of \( 40 \mathrm{cm} \) from the left end, find
resistance of the wire that is bent in the
shape of the ring.",,4.0
"Which of the following is INCORRECT?
\( \mathbf{A} \cdot p(x)=5 x+5, \) degree \( =1 \)
B \( \cdot p(x)=4 x^{4}+4, \) degree \( =4 \)
\( \mathbf{C} \cdot p(x)=x^{8}, \) degree \( =8 \)
D \( . p(x)=9, \) degree \( =9 \)",,3.0
"In a G.P. of positive terms, if any term is
equal to the sum of next two terms, find
the common ratio of the G.P.",,3.0
"Mother is responsible for the sex of a baby.
A . True
B. False",,1.0
"Rain water harvesting is:
A. storing ground water by not using water from the well
B. stop growing crops to save water
C. allowing water to go into rivers and lakes
D. collecting rainwater and storing it for later use",,1.0
"When metals and non-metals other
than oxygen react, what is formed?
A. water
B. A covalent compound
c. An ionic compound
D. oxygen
E. An ion",,2.0
"A circular disc of radius \( 3 \mathrm{cm} \) is being
heated. Due to expansion, its radius increases at the rate of \( 0.05 \mathrm{cm} / \mathrm{s} \). Find
the rate at which its area is increasing when radius is \( 3.2 \mathrm{cms} \)",,4.0
"Hardness of water is mainly due to the
B. calcium and sodium
c. sodium and magnesium
D. calcium and potassium",,2.0
"A battery of emf \( 10 \mathrm{v} \) and internal resistance of 0.5 ohms is connected
across \( A \) variable resistance R.The
maximum value of \( \mathrm{R} \) is given by:
A . \( 0.5 \Omega \)
B. \( 1.00 \Omega \)
c. \( 2.0 \Omega \)
D. \( 0.25 \Omega \)",,4.0
"A ball of mass \( 200 g \) is thrown with a
speed \( 20 m s^{-1} \). The ball strikes a bat
and rebounds along the same line at a
speed \( 40 m s^{-1} \) Variation of the
interaction force, as long as the ball remains in contact with the bat, is as
shown in Fig. Average force exerted by
the bat on the ball is:
\( .5000 N \)
\( N \)
в. 2000N
\begin{tabular}{l}
\( c .2500 N \) \\
\hline
\end{tabular}
D. \( 6000 N \)",,4.0
"Homo erectus erectus is the zoological
name of
A. Java ape man
B. Peking man
c. Neanderthal man
D. Nut cracker man",,1.0
"Photorespiration takes place in
A. Chloroplast, mitochondria
B. Mitochondria, peroxisome
C. Chloroplasts, peroxisome, mitochondria
D. Chloroplasts, cytoplasm, mitochondria",,1.0
"The angular frequency of a spring block system is \( \omega_{0} \) This system is suspended from the ceiling of anelevator moving
downwards with a constant speed \( v_{0} \)
The block is at rest relative to the
elevator. Lift issuddenly stopped. Assuming the downwards as a positive direction, choose the wrong statement:
A \( \cdot \) The amplitude of the block is \( \frac{v_{0}}{\omega_{0}} \)
B. The initial phase of the block is \( \pi \)
C . The equation of motion for the block is \( \frac{v_{0}}{\omega_{0}} \sin \omega_{0} \mathrm{t} \)
D. The maximum speed of the block is \( v_{0} \)",,4.0
"The number of continuous and
derivable function(s) \( f(x) \) such that
\( f(1)=-1, f(4)=7 \) and \( f(x)>3 \) for
all \( \boldsymbol{x} \in \boldsymbol{R} \) is/are
\( \mathbf{A} \cdot \mathbf{0} \)
B.
\( c \cdot 2 \)
D. infinite",,3.0
"When a coil rotated in magnetic field
induced current in it :
A. continuously changes
B. remains same
c. becomes zero
D. becomes maximum",,4.0
"Removal of the soil by the action of wind and water is known as
A. Errosion
B. Fossilization
c. Leaching
D. Calcification",,1.0
"The solution of \( \frac{d y}{d x}+y \tan x=\cos ^{2} x \) is:
A \( \cdot y \sec ^{2} x=c+\sin x \)
B. \( y \sec x=c+\cos x \)
c. \( y \sec ^{2} x=c+\cos x \)
D. \( y \sec x=c+\sin x \)",,3.0
"Find the negative of cube root of
-2744000:",,3.0
"In the sexual mode of reproduction, greater diversities are generated.
A. True
B. False",,1.0
"Explore and answer:
Petrol tankers plying on highways often have metal chains attached to that drag
along the road. Could you say why?",,2.0
"The role of gibberellin is
A. Inhibits lateral buds
B. Stimulates fruit ripening
C. Maintains seed dormancy
D. Stimualtes rapid stem elongation
E. All of the above",,1.0
"The average weight of 39 students in a
class is \( 23 \mathrm{kgs} \). Among them Sita is the heaviest while Tina is the lightest. If
both of them are excluded from the
class still the average remains same.
The ratio of weight of Sita to Tina is 15:
8, then what is the weight of the Tina?",,4.0
"The diagram given below is a representation of a certain phenomenon pertaining to the nervous system. Study the diagram and answer the following questions.
(i) Name the phenomenon that is being depicted.
(ii) Give the technical term for the point
of contact between the two nerve cells.
(iii) Name the parts 1,2,3 and 4
(iv) Write the functions of parts 5 and 6
(v) How does the arrangement of neurons in the spinal cord differ from
that of the brain?",,1.0
Write the process of making ethyl acetate by esterification with equation.,,2.0
"Mortar is a mixture of:
A. lime and water
B. lime and sand
C. lime, sand and water
D. lime and cement",,2.0
"If the first term of GP is \( 7, \) its \( n^{t h} \) term is
448 and sum of \( n \) terms is \( 889, \) then
find the fifth term of GP",,3.0
